City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
601,Mayo,US,38.8876,-76.5119,60.35,47,0,7.0,clear sky,2022-02-12 21:08:43
602,Inta,RU,66.0317,60.1659,6.13,94,100,10.18,overcast clouds,2022-02-12 21:08:43
603,Bogande,BF,12.9714,-0.1436,78.84,10,3,7.31,clear sky,2022-02-12 21:08:44
604,Dzhebariki-Khaya,RU,62.2167,135.8,-37.1,100,100,1.19,overcast clouds,2022-02-12 21:08:44
605,Kaduna,NG,10.5222,7.4383,72.54,13,5,8.28,clear sky,2022-02-12 21:08:44
606,Port Blair,IN,11.6667,92.75,75.6,73,9,13.06,clear sky,2022-02-12 21:08:44
607,San Juan,AR,-31.5375,-68.5364,74.43,19,12,4.21,few clouds,2022-02-12 21:08:45
608,Tiznit,MA,29.5833,-9.5,57.11,55,1,2.21,clear sky,2022-02-12 21:08:45
609,Tumarbong,PH,10.3766,119.4579,77.27,92,100,7.14,overcast clouds,2022-02-12 21:08:45
610,Foumbot,CM,5.5079,10.6356,70.74,22,46,2.62,scattered clouds,2022-02-12 21:08:46
611,Pringsewu,ID,-5.3582,104.9744,72.99,94,100,1.68,overcast clouds,2022-02-12 21:08:46
612,Rio Grande,BR,-32.035,-52.0986,77.11,87,99,18.52,overcast clouds,2022-02-12 21:08:46
613,Aksarka,RU,66.5606,67.7975,-13.09,95,100,7.34,overcast clouds,2022-02-12 21:08:47
614,Rancho Palos Verdes,US,33.7445,-118.387,90.88,26,0,0.0,clear sky,2022-02-12 21:08:47
615,Ust-Nera,RU,64.5667,143.2,-35.95,99,61,2.51,broken clouds,2022-02-12 21:08:47
616,Winchester,GB,51.0651,-1.3187,46.96,86,75,12.66,broken clouds,2022-02-12 21:08:48
617,Marawi,PH,7.9986,124.2928,62.65,88,100,2.77,overcast clouds,2022-02-12 21:08:48
618,Tiarei,PF,-17.5333,-149.3333,87.82,74,89,13.65,light rain,2022-02-12 21:08:48
619,Virden,US,39.5009,-89.7679,22.5,69,34,11.48,scattered clouds,2022-02-12 21:08:49
620,Sola,VU,-13.8833,167.55,77.86,86,99,16.17,overcast clouds,2022-02-12 21:08:49
621,Bereslavka,RU,48.6254,44.0449,30.97,97,100,11.81,snow,2022-02-12 21:08:49
622,Tecolutla,MX,20.4833,-97.0167,84.06,73,98,10.22,overcast clouds,2022-02-12 21:08:50
623,Nenjiang,CN,49.1833,125.2167,-10.73,99,98,3.53,overcast clouds,2022-02-12 21:08:50
624,Constantine,DZ,36.365,6.6147,45.81,87,40,5.75,scattered clouds,2022-02-12 21:08:50
625,Thinadhoo,MV,0.5333,72.9333,81.16,71,100,8.93,moderate rain,2022-02-12 21:06:52
626,Arinos,BR,-15.9169,-46.1056,71.65,95,98,2.86,overcast clouds,2022-02-12 21:08:51
627,Gat,IL,31.61,34.7642,51.82,100,0,4.18,clear sky,2022-02-12 21:08:51
628,Wardenburg,DE,53.0667,8.2,37.94,75,81,5.01,broken clouds,2022-02-12 21:08:51
629,Khasan,RU,42.4308,130.6434,20.59,50,99,8.97,overcast clouds,2022-02-12 21:08:51
630,Wagar,SD,16.1525,36.2032,69.85,57,0,15.21,clear sky,2022-02-12 21:08:52
631,Kaduy,RU,59.2,37.15,28.09,91,100,12.66,light snow,2022-02-12 21:08:52
632,Chkalovsk,RU,56.7647,43.2433,24.39,96,66,9.42,broken clouds,2022-02-12 21:08:52
633,Port Alberni,CA,49.2413,-124.8028,57.16,32,2,2.68,clear sky,2022-02-12 21:08:53
634,Basco,PH,20.4487,121.9702,76.55,74,13,15.93,few clouds,2022-02-12 21:08:53
635,Waw,SS,7.7029,27.9953,78.96,20,8,5.21,clear sky,2022-02-12 21:08:53
636,Can Tho,VN,10.0333,105.7833,75.18,88,0,4.61,clear sky,2022-02-12 21:08:54
637,Dongsheng,CN,39.8161,109.9776,22.6,85,96,14.65,light snow,2022-02-12 21:08:54
638,Itaituba,BR,-4.2761,-55.9836,78.96,95,100,1.95,heavy intensity rain,2022-02-12 21:08:54
639,Pisco,PE,-13.7,-76.2167,75.25,64,0,20.71,clear sky,2022-02-12 21:08:54
640,Leh,IN,34.1667,77.5833,-2.06,70,90,2.13,overcast clouds,2022-02-12 21:08:55
641,Ozinki,RU,51.1786,49.6769,18.91,96,100,3.91,overcast clouds,2022-02-12 21:08:55
642,Waipawa,NZ,-41.4122,175.5153,51.46,97,100,22.97,overcast clouds,2022-02-12 21:08:55
643,Adjumani,UG,3.3779,31.7909,82.96,28,86,2.42,overcast clouds,2022-02-12 21:08:56
644,Masvingo,ZW,-20.0637,30.8277,64.94,58,5,3.89,clear sky,2022-02-12 21:08:56
645,Northam,GB,51.0333,-4.2167,50.41,96,100,18.61,overcast clouds,2022-02-12 21:08:56
646,Hanyang,CN,32.1371,105.5126,36.05,92,39,1.41,scattered clouds,2022-02-12 21:08:57
647,Narang,PK,31.9132,74.5176,53.56,63,0,3.71,clear sky,2022-02-12 21:08:57
648,Broken Hill,AU,-31.95,141.4333,75.33,35,7,7.0,clear sky,2022-02-12 21:08:57
649,Lihula,EE,58.6814,23.8453,35.89,69,99,12.95,overcast clouds,2022-02-12 21:08:58
650,Gumdag,TM,39.2061,54.5906,43.66,57,0,6.89,clear sky,2022-02-12 21:09:58
651,Taos,US,36.4072,-105.5731,41.02,37,0,3.0,clear sky,2022-02-12 21:08:31
652,Makaryev,RU,57.8797,43.8069,11.53,98,87,6.46,overcast clouds,2022-02-12 21:09:58
653,Dandong,CN,40.1292,124.3947,26.73,59,100,8.68,overcast clouds,2022-02-12 21:09:59
654,Hastings,GB,50.8552,0.5729,46.15,67,100,19.66,overcast clouds,2022-02-12 21:08:57
655,Vao,NC,-22.6667,167.4833,79.29,81,99,4.23,overcast clouds,2022-02-12 21:05:06
656,Acajutla,SV,13.5928,-89.8275,95.81,59,5,8.95,clear sky,2022-02-12 21:09:59
657,Aykhal,RU,66.0,111.5,-8.1,93,95,3.98,overcast clouds,2022-02-12 21:09:59
658,Pacific Grove,US,36.6177,-121.9166,84.61,34,0,5.75,clear sky,2022-02-12 21:10:00
659,Mallasamudram,IN,11.4833,78.0333,70.66,73,16,4.29,few clouds,2022-02-12 21:10:00
660,Bourbonnais,US,41.1417,-87.875,21.18,71,100,8.05,overcast clouds,2022-02-12 21:05:41
661,Beyneu,KZ,45.3167,55.2,37.94,83,100,7.4,overcast clouds,2022-02-12 21:10:00
662,Naze,JP,28.3667,129.4833,63.39,90,99,7.9,overcast clouds,2022-02-12 21:10:01
663,Belaya Gora,RU,68.5333,146.4167,-20.02,90,100,6.15,overcast clouds,2022-02-12 21:08:33
664,Nova Soure,BR,-11.2333,-38.4833,77.7,78,69,6.02,moderate rain,2022-02-12 21:10:01
665,Oistins,BB,13.0667,-59.5333,78.57,67,21,19.24,few clouds,2022-02-12 21:10:02
666,Decatur,US,39.8403,-88.9548,19.87,67,100,10.36,overcast clouds,2022-02-12 21:10:03
667,Nanchang,CN,28.6833,115.8833,43.12,88,100,4.32,light rain,2022-02-12 21:06:40
668,Neryungri,RU,56.6709,124.6491,-35.73,100,95,2.19,overcast clouds,2022-02-12 21:10:04
669,Majene,ID,-3.5403,118.9707,75.43,83,100,5.91,light rain,2022-02-12 21:10:05
670,Yenagoa,NG,4.9247,6.2642,80.49,73,96,6.46,overcast clouds,2022-02-12 21:10:05
671,Watsa,CD,3.0372,29.5355,72.12,37,80,1.23,broken clouds,2022-02-12 21:10:06
672,Nacala,MZ,-14.5428,40.6728,75.76,89,49,2.59,scattered clouds,2022-02-12 21:10:06
673,Saint-Agapit,CA,46.5629,-71.4352,29.55,92,94,15.28,light snow,2022-02-12 21:10:06
